Hot Peppers,,,,
Ingredients,,,,
Manufacturers,,,,
Recipes,,,,
Cultivars,,,,
Reviews,,,,
Flavors,,,,
Hot Pepper Common Name ↕,Avg SHU ↕,# of Recipes ↕,Origin Country,Cultivar
Bishop's Crown Pepper,"17,500",2,Brazil,Capsicum Baccatum
Black Cobra Pepper,"30,000",0,Venezuela,Capsicum Annuum
Black Cuban Pepper,"50,000",0,Cuba,Capsicum Annuum
Black Lampong Peppercorn,N/A,1,Indonesia,
Black Pearl Pepper,"30,000",0,United States of America,Capsicum Annuum
Black Pepper,0,218,India,
Black Pepper (Cracked),N/A,3,India,
Black Pepper (Ground),N/A,4,India,
Black Pepper (Powder),0,1,India,
Black Prince Pepper,"30,000",0,United States of America,Capsicum Annuum
Black Scorpion Tongue Pepper,"1,00,000",0,,Capsicum Annuum
Blair's 2am Reserve Extract Pepper,N/A,1,,
Bode Amarela Pepper,"30,000",0,Brazil,Capsicum Chinense
Bolivian Rainbow Pepper,"20,000",0,Bolivia,Capsicum Annuum
Bombilla Amarilla Pepper,"30,000",0,Spain,Capsicum Annuum
Bonanza Brasileira Pepper,"30,000",0,Brazil,Capsicum Baccatum
Bondamanjak Pepper,"2,25,000",3,French Guiana,Capsicum Chinense
Borg 9 (Chocolate) Pepper,"10,00,000",0,United Kingdom,Capsicum Frutescens
Bouquet Pepper,"5,000",0,United States of America,Capsicum Annuum
Brain Strain Pepper,"11,75,000",1,Trinidad and Tobago,Capsicum Chinense
Brain Strain Pepper (Yellow),"11,75,000",1,Trinidad and Tobago,Capsicum Chinense
Brazilian Starfish Pepper,"17,500",0,Brazil,Capsicum Baccatum
Brinco De Princesa Pepper,"1,000",0,,
Bubba Pepper,"30,000",0,Colombia,Capsicum Baccatum
Cabai Burong Pepper,"30,000",0,Malaysia,Capsicum Frutescens
Cabai Merah Besar Pepper,"30,000",0,Malaysia,Capsicum Annuum Capsicum Frutescens
Cacho De Cabra Pepper,"5,000",0,Chile,Capsicum Annuum
Cajamarca Pepper,"1,50,000",0,,Capsicum Chinense
Cajun Belle Pepper,"2,250",0,,Capsicum Annuum
Calabria Pepper,"2,500",0,Italy,Capsicum Annuum
Calabrian Chili Pepper,"32,500",1,Italy,Capsicum Annuum
Calico Pepper,"60,000",0,Mexico,Capsicum Annuum
California Wonder Pepper,0,0,United States of America,Capsicum Annuum
Californian Pepper,"2,500",0,United States of America,Capsicum Annuum
Calistan Pepper,"1,000",0,Turkey,Capsicum Annuum
Caloro Pepper,"5,000",0,United States of America,Capsicum Annuum
Cambuci Pepper,500,0,Brazil,Capsicum Baccatum
Candlelight Pepper,"2,550",0,United States of America,Capsicum Annuum
Capsaicin (Pure) Pepper,N/A,9,,
Capsaicin Extract Pepper,"1,60,00,000",2,,
Caribe Peppers,"5,000",1,Mexico,Capsicum Annuum
Carolina Cayenne Pepper,"1,12,500",1,United States of America,Capsicum Annuum
Carolina Reaper Chillies Pepper,"15,69,300",8,United States of America,Capsicum Chinense
Carolina Reaper Distillate Pepper,N/A,1,United States of America,Capsicum Chinense
Carolina Reaper Pepper,"15,69,383",84,United States of America,
Carolina Reaper Pepper (Crushed),"15,69,300",1,United States of America,Capsicum Chinense
Carolina Reaper Pepper (Green),N/A,2,United States of America,Capsicum Chinense
Carolina Reaper Pepper (Ground),"15,69,300",1,United States of America,Capsicum Chinense
Carolina Reaper Pepper Mash,"15,69,300",6,United States of America,Capsicum Chinense
Carolina Reaper Pepper Powder,N/A,5,United States of America,Capsicum Chinense
Carolina Reaper Pods Pepper,N/A,1,United States of America,Capsicum Chinense
Cascabel Pepper,"1,750",1,Mexico,Capsicum Annuum
Cascabella Pepper,"4,250",0,United States of America,Capsicum Annuum
Catarina Pepper,500,0,Mexico,Capsicum Annuum
Cayenne Chillies Pepper,N/A,20,French Guiana,Capsicum Annuum
Cayenne Pepper,"40,000",173,French Guiana,Capsicum Annuum
Cayenne Pepper (Aged Red),"40,000",3,France,
Cayenne Pepper (Golden),"40,000",0,United States of America,Capsicum Annuum
Cayenne Pepper (Large Purple),"40,000",0,United States of America,Capsicum Annuum
Cayenne Pepper (Large Red),"40,000",2,French Guiana,Capsicum Annuum
Cayenne Pepper (Powder),"40,000",6,French Guiana,Capsicum Annuum
Cayenne Pepper (Red),"40,000",8,French Guiana,
Cayenne Pepper Mash,"40,000",10,French Guiana,Capsicum Annuum
Caysan Chilli Pepper,"40,000",2,,Capsicum Annuum
Cereja Da Amapa Pepper,"12,500",0,Brazil,
Chao Tian Jiao Pepper,"40,000",0,China,Capsicum Annuum
Charleston Hot Pepper,"85,000",0,United States of America,Capsicum Annuum
Cheiro Roxa Pepper,"70,000",0,Brazil,Capsicum Chinense
Chenzo Pepper,"45,000",0,,Capsicum Annuum
Cheongyang Chili Pepper,"10,000",0,South Korea,Capsicum Annuum
Cherry Bomb Pepper,"3,750",1,United States of America,Capsicum Annuum
Cherry Pepper,"1,750",0,United States of America,Capsicum Annuum
Cheyenne Pepper,"40,000",0,United States of America,Capsicum Annuum
Chi Chien Pepper,"70,000",0,China,Capsicum Annuum
Chilaca Pepper,"1,750",0,Mexico,
Chilcostle Pepper,"5,000",0,Mexico,Capsicum Annuum
Chile Caribe Pepper,N/A,14,Mexico,Capsicum Annuum
Chile De Arbol Pepper,"22,500",2,Mexico,Capsicum Annuum
Chile De Cuscutlan Pepper,"5,000",0,Honduras,Capsicum Annuum
Chile Extract Pepper,N/A,25,,
Chile Grande Pepper,"55,000",0,Mexico,Capsicum Annuum
Chile Inayague Pepper,"30,000",0,Mexico,Capsicum Annuum
Chile Pepper (Green),N/A,3,Mexico,
Chile Pepper Blend,N/A,2,,
Chile Peppers,N/A,37,,
Chile Peppers (Natural Extracts),N/A,1,Mexico,
Chile Powder Pepper,N/A,11,,
Chile Tepin Pepper,"2,00,000",1,Mexico,Capsicum Annuum
Chiles Pepper,N/A,6,,
Chilhuacle Negro Chile Pepper,"1,750",0,Mexico,Capsicum Annuum
Chili De Arbol Pepper,"22,500",2,Mexico,
Chili Extract (9 Million Shu) Pepper,N/A,1,,
Chili Pepper Extract,N/A,3,,
Chili Peppers (Generic),N/A,32,,
Chili Peppers (Roasted),N/A,2,Mexico,
Chili Powder (Generic) Pepper,N/A,36,,
Chili Willy Pepper,"23,000",0,United States of America,Capsicum Annuum
Chilito De Simojovel Pepper,"30,000",0,Mexico,Capsicum Annuum
Chilli Flakes Pepper,N/A,1,,
Chillies Pepper,N/A,5,,
Chilly Chili Pepper,51,0,,Capsicum Annuum
Chiltepin Pepper,"75,000",0,Mexico,Capsicum Annuum
Chimayo Pepper,"5,000",0,United States of America,Capsicum Annuum
China Express Pepper,"80,000",0,,
Chinchi Uchu Pepper,"30,000",0,Peru,Capsicum Baccatum
Chinese Five Color Pepper,"50,000",0,China,Capsicum Annuum
Chintexle Pepper,"5,000",0,Mexico,Capsicum Annuum
Chipotle Brown Chiles Pepper,"5,250",2,Mexico,
Chipotle Chiles Pepper,"5,250",22,Mexico,
Chipotle Chilli Powder Pepper,N/A,2,Mexico,
Chipotle Flakes Pepper,N/A,3,Mexico,
Chipotle Meco Pepper,"6,250",0,Mexico,
Chipotle Morita Pepper,"6,250",0,Mexico,
Chipotle Pepper,"7,500",85,Mexico,
Chipotle Pepper (Organic),"5,250",1,Mexico,
Chipotle Pepper Mash,"5,250",2,Mexico,
Chipotle Pepper Mix,N/A,1,Mexico,
Chipotle Pepper Powder,"9,000",4,Mexico,
Chipotle Peppers (Red),N/A,6,Mexico,
Chipotle Powder Pepper,"5,250",9,Mexico,
Chipotle Puree Pepper,"5,250",2,Mexico,
Chipotle Verde Pepper,"5,250",1,Mexico,
Chipotles In Adobo Pepper,"5,250",3,Mexico,
Chivato Pepper,"30,000",0,Peru,Capsicum Baccatum
Chocolate Habanero Pepper Seeds,N/A,1,Jamaica,
Chocolate Habanero Peppers,"5,01,000",7,Brazil,
Chocolate Scotch Bonnet Pepper,"2,25,000",1,Jamaica,Capsicum Chinense
Choice Fresh Red Habanero Pepper Pieces,N/A,1,Brazil,
Chungyang Red Pepper,"16,500",0,South Korea,Capsicum Annuum
Chupetinho Pepper,"30,000",0,Brazil,Capsicum Chinense
Cili Goronong Pepper,"1,00,000",0,Malaysia,Capsicum Chinense
Cobanero Pepper (Coban),"40,000",0,Guatemala,Capsicum Baccatum
Cochabamba Pepper,"5,000",0,Bolivia,Capsicum Baccatum
Cochiti Pepper,"5,000",0,United States of America,Capsicum Annuum
Concentrated Pepper Extract,N/A,2,,
Congo Pepper,N/A,1,Guyana,Capsicum Chinense
Congo Pepper - Black,"4,00,000",0,Trinidad and Tobago,Capsicum Chinense
Congo Pepper - Red,"3,50,000",0,Trinidad and Tobago,Capsicum Chinense
Congo Pepper - Yellow,"3,00,000",0,Trinidad and Tobago,Capsicum Chinense
Corbaci Pepper,500,0,Hungary,Capsicum Annuum
Corno Di Toro Pepper (Carmen Italian Sweet Pepper),250,0,Italy,Capsicum Annuum
Coronado Pepper,850,0,,Capsicum Annuum
Costa Rica Orange Hot Pepper,"1,25,000",0,Costa Rica,Capsicum Frutescens
Costeno Amarillo Pepper,"2,000",0,Mexico,Capsicum Annuum
Costeno Rojo Pepper,"12,000",0,Mexico,Capsicum Annuum
Count Dracula Pepper,"25,000",0,,Capsicum Annuum
Cow Horn Pepper,"3,750",0,United States of America,Capsicum Annuum
Criollo Pepper,500,1,Mexico,Capsicum Annuum
Crushed Red Chile Peppers,"40,000",1,North Macedonia,
Crushed Red Pepper,"35,000",18,North Macedonia,
Crushed Red Pepper (Dried),"40,000",1,North Macedonia,
Cubanelle Pepper,550,0,Italy,Capsicum Annuum
Cumari Do Para Pepper,"1,75,000",0,Brazil,Capsicum Praetermissum
Cyklon Pepper,"5,000",0,Poland,Capsicum Annuum
Dalle Khursani Pepper,"2,25,000",0,Nepal,Capsicum Chinense
Datil Pepper,"2,00,000",4,United States of America,Capsicum Chinense
Dedo De Moca Pepper,"3,250",0,Brazil,Capsicum Baccatum
Dehydrated Bell Pepper,N/A,2,Hungary,Capsicum Annuum
